topic_name,topic_description
Asphyxia,condition of severely deficient supply of oxygen to the body
Granuloma,inflammation consisting of immune cells known as macrophages
Climate extremes,"unusual, severe or unseasonal weather"
Bone scintigraphy,imaging technique used in nuclear medicine
Ventromedial prefrontal cortex,part of the prefrontal cortex in the mammalian brain
Fecal coliform,Bacterium
Grayscale,"image where each pixel's intensity is shown only achromatic values of black, grey, and white"
Alveolar mucosa,mouth-lining mucus membrane
Medication adherence,"extent to which the patient follows prescribed treatment responsibly, in the broader sense including both medication and appointments"
Dynamin,family of GTP-binding proteins
International Financial Reporting Standards,technical standard
Molecular neuroscience,branch of neuroscience
Tendinopathy,bruised tendon
Gas turbines,type of internal combustion engine
Nasotracheal intubation,placement of a tube into the trachea through the mouth or nose to provide a patient with oxygen and anesthesia
Polysulfone,class of polymer
Videocassette recorder,electromechanical device
Biosimilar,type of pharmaceutical drug product
Quetiapine,an atypical antipsychotic medication
Current divider,device
Government spending,"government consumption, investment, and transfer payments"
Urothelial carcinoma,carcinoma that derives from transitional epithelial cells
Entrepreneurship education,type of education
Berberine,quaternary ammonium cation
Conotoxin,group of toxins
Leg muscle,"lower extremity or limb of the human body (foot, lower leg, thigh and hip)"
Lead intoxication,"poisoning by lead in the body, especially affects the brain"
Antimicrobial peptides,class of peptides that have antimicrobial activity
Verocytotoxin,class of bacterial protein complexes
Hybrid coupler,radio technology devices
Kidney stones,formation of one or more mineral calculi (stones) in the urinary tract
RNA virus,subclass of viruses
Fault gouge,rock type
Plasmodium berghei,species of parasitic protist that can cause malaria
28S ribosomal RNA,RNA component of the large subunit of the eukaryotic ribosome
Oxide minerals,Nickel–Strunz 9 ed mineral class number 4
Family relationship,"group of people affiliated by consanguinity, affinity, or co-residence"
Design process,The field of study related to Design process.
Spallation,type of nuclear reaction
Postoperative pain,type of unpleasant feeling
Simulation modeling,The field of study related to Simulation modeling.
Teratoma,germ cell and embryonal cancer that is an encapsulated tumor with tissue or organ components resembling normal derivatives of all three germ layers
Intrahepatic Cholangiocarcinoma,bile duct adenocarcinoma that has material basis in bile duct epithelial cells.
Racial differences,classification system used to categorize humans on the basis of hereditary physical traits
Bourgeoisie,social class
Monochromator,optical device
Joint replacement,orthopedic surgery to replace a joint
Banking industry,financial institution
Hypercortisolemia,adrenal gland overactivity caused by a tumor of the pituitary gland or by medication
Prenatal alcohol exposure,severe form of fetal alcohol spectrum disorder
Accounting method,The field of study related to Accounting method.
Working hours,period of time that an individual spends at paid occupational labor
Depth-first search,search algorithm
Genetically engineered,direct manipulation of an organism's genome using biotechnology
Diene,hydrocarbon that contains two carbon double bonds
Squirrel monkey,genus of New World monkeys
Osteoporotic fracture,bone fracture caused by weakness of the bone structure
Planck time,set of units of measurement defined exclusively in terms of universal physical constants proposed by physicist Max Planck
Acute injury,injury that could cause prolonged disability or death
French,Romance language
Organization studies,The field of study related to Organization studies.
Alveolar cells,hollow cavity found in the lungs
Penetrating trauma,type of injury
Neutron detection,The field of study related to Neutron detection.
Concurrency control,The field of study related to Concurrency control.
Semicircular canal,tube located inside the ear
Signs and symptoms,"objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient"
Marketing science,The field of study related to Marketing science.
Basis pursuit,optimization problem
Ossicles,three bones in the human ear
Nerve conduction,process by which neurons communicate with each other by changes in their membrane potentials.
Land price,process of valuing real property
Dietary protein,nutrient for the human body
Positioning system,mechanism for determining the location of an object in space
Sex discrimination,prejudice or discrimination based on a person’s sex or gender
Lateral vestibular nucleus,The field of study related to Lateral vestibular nucleus.
Pike,video game genre
Placenta accreta,"placenta disease that is characterized by an abnormally deep attachment of the placenta, through the endometrium and into the myometrium"
Esophagogastroduodenoscopy,a diagnostic endoscopic procedure that visualizes the upper part of the gastrointestinal tract down to the duodenum
Apollo,species of butterfly
Musculoskeletal disorder,disease of anatomical entity that occurs in the muscular and/or skeletal system
Perinatal mortality,deaths of infants during late pregnancy or immediately after birth
Fire blight,plant disease
Municipal law,area of law
Extracorporeal shock wave therapy,therapy used to treat kidney stones and plantar fasciitis
Business environment,marketing term
Psychological stress,"psychological feeling of strain and pressure, that could increase the risk of strokes, heart attacks, ulcers, and mental illnesses such as depression and aggravation of a pre-existing condition"
Constant curvature,concept in differential geometry
Thermoluminescent dosimeter,measurement method for ionizing radiation
Heterodyne detection,electronic oscillator
Historical geography,branch of geography
